maskapai,asal,tujuan,tahun,penumpang,harga
country link,BTO,UPG,2016,67,1172525
water asia,KNO,BTH,2017,132,2527193
rajawali,JOG,HLP,2014,99,1848341
country link,BDO,BTH,2017,109,2055451
rajawali,BTO,HLP,2017,129,2472612
country link,CGK,DPS,2015,180,3543724
water asia,JOG,SRG,2016,108,2020761
country link,KNO,DPS,2014,198,3933422
water asia,CGK,DPS,2014,62,1050835
country link,CGK,DPS,2015,124,2360480
water asia,KNO,UPG,2014,108,2023306
water asia,PKU,DPS,2016,89,1634124
macan,PKU,UPG,2014,115,2177394
macan,PKU,DPS,2017,123,2359304
mataram,PKU,SRG,2016,63,1064903
rajawali,CGK,DPS,2014,125,2396527
country link,BTO,BTH,2015,179,3528839
water asia,JOG,DPS,2017,125,2395368
country link,BTO,UPG,2014,91,1683786
water asia,BDO,BTH,2015,171,3353555
mataram,BTO,BTH,2015,64,1115671
water asia,BDO,UPG,2014,86,1582433
mataram,CGK,PDG,2015,159,3106628
rajawali,BDO,BTH,2017,153,2966993
mataram,JOG,PDG,2014,162,3151577
rajawali,PKU,UPG,2015,125,2383325
country link,PKU,HLP,2015,87,1602929
mataram,CGK,PDG,2014,147,2844530
country link,JOG,HLP,2017,173,3392616
rajawali,JOG,SRG,2015,157,3740838
macan,KNO,SRG,2016,152,2960548
macan,BTO,DPS,2015,168,3296011
mataram,KNO,UPG,2015,189,3748966
macan,PKU,HLP,2016,156,3672600
mataram,BTO,BTH,2015,151,2922593
country link,CGK,SRG,2017,132,2538791
mataram,PKU,HLP,2015,152,2950694
rajawali,BTO,HLP,2017,117,2211846
water asia,CGK,UPG,2016,159,3088762
rajawali,PKU,DPS,2016,64,1104049
rajawali,PKU,UPG,2017,200,3993791
mataram,BTO,BTH,2015,120,2272591
mataram,PKU,UPG,2016,179,3507718
rajawali,BDO,BTH,2016,193,3824924
country link,BTO,UPG,2015,179,3747658
water asia,JOG,BTH,2014,101,1880762
country link,JOG,SRG,2017,199,3957658
mataram,CGK,UPG,2016,118,2224211
rajawali,BTO,PDG,2014,171,3367192
water asia,CGK,PDG,2017,141,1837780
country link,JOG,SRG,2015,167,3264013
water asia,CGK,BTH,2014,83,1524044
country link,BDO,DPS,2015,66,1146909
water asia,CGK,HLP,2017,85,1556008
macan,BDO,PDG,2016,149,2887163
rajawali,KNO,UPG,2014,162,3150467
water asia,JOG,SRG,2016,120,2277314
water asia,JOG,PDG,2016,68,1197956
rajawali,BTO,BTH,2014,188,3716438
mataram,PKU,HLP,2014,98,1837642
rajawali,BDO,UPG,2014,130,2493523
country link,PKU,HLP,2015,166,3241048
water asia,BTO,PDG,2016,178,3503349
country link,JOG,UPG,2015,144,2791524
country link,BDO,PDG,2016,131,2506530
mataram,CGK,BTH,2017,119,1287847
mataram,BTO,PDG,2015,183,3612955
macan,BTO,SRG,2014,125,2389433
country link,JOG,DPS,2015,199,3959302
mataram,BTO,PDG,2016,114,2155156
rajawali,CGK,HLP,2016,155,3006353
rajawali,BDO,SRG,2015,190,3761523
rajawali,CGK,SRG,2016,99,1845612
rajawali,CGK,BTH,2014,145,2799695
mataram,CGK,UPG,2015,194,3764509
country link,BDO,HLP,2014,92,1691474
mataram,KNO,HLP,2014,174,3415044
country link,BTO,BTH,2016,105,1960563
water asia,PKU,BTH,2017,93,1732364
mataram,BTO,BTH,2015,189,3737730
macan,BTO,PDG,2017,62,1054920
macan,JOG,DPS,2015,73,1318105
country link,KNO,UPG,2017,87,1585807
water asia,BTO,BTH,2017,140,2704341
rajawali,CGK,BTH,2015,179,3534357
mataram,BTO,DPS,2016,105,1965775
rajawali,KNO,BTH,2015,123,2357522
macan,PKU,DPS,2017,147,2837110
country link,PKU,UPG,2015,83,1507746
water asia,BTO,DPS,2016,134,2573989
country link,BDO,SRG,2016,65,1143416
macan,BDO,UPG,2014,133,2543131
macan,KNO,BTH,2015,116,2190476
rajawali,BDO,UPG,2017,196,3896646
macan,BDO,HLP,2015,195,3880788
rajawali,CGK,DPS,2015,167,3284798
rajawali,JOG,DPS,2014,77,1389926
country link,JOG,HLP,2015,169,3330758
country link,CGK,DPS,2016,150,2902659
water asia,JOG,BTH,2014,93,1729429
macan,BTO,BTH,2015,119,2250116
water asia,JOG,UPG,2015,116,2195542
mataram,BDO,DPS,2015,78,1406378
mataram,CGK,DPS,2015,183,3599256
water asia,PKU,SRG,2014,168,3287076
water asia,PKU,SRG,2017,112,2095261
mataram,KNO,BTH,2015,109,2056495
rajawali,KNO,HLP,2017,188,3729040
country link,PKU,HLP,2014,87,1598364
mataram,KNO,DPS,2014,78,1414194
mataram,BTO,BTH,2016,119,2247258
mataram,BTO,SRG,2017,79,1437073
water asia,BDO,SRG,2015,71,1254077
macan,BTO,UPG,2017,67,1182039
mataram,BDO,UPG,2014,142,2756237
macan,KNO,PDG,2015,80,1444548
macan,JOG,BTH,2014,60,1000420
macan,PKU,SRG,2016,79,1435811
country link,BTO,SRG,2014,65,1142592
macan,KNO,SRG,2017,188,3711896
water asia,CGK,DPS,2017,133,2550689
rajawali,PKU,UPG,2015,192,3806837
country link,BTO,UPG,2015,143,2768595
macan,JOG,PDG,2014,153,2970333
water asia,PKU,PDG,2017,107,2018797
mataram,BTO,HLP,2015,193,3837716
rajawali,PKU,SRG,2017,161,3135135
rajawali,BDO,DPS,2015,199,3972136
mataram,KNO,UPG,2014,69,1218168
water asia,BDO,HLP,2014,192,3810035
country link,CGK,HLP,2015,139,1802912
water asia,BTO,BTH,2015,180,3546438
macan,BTO,DPS,2017,156,3031339
mataram,BDO,UPG,2016,100,1577593
rajawali,KNO,DPS,2017,185,3640368
mataram,PKU,PDG,2015,148,2867590
water asia,PKU,SRG,2014,185,3657088
country link,KNO,PDG,2017,63,1076334
rajawali,JOG,HLP,2016,107,1999094
country link,BDO,DPS,2017,177,3469092
rajawali,CGK,HLP,2014,131,2506871
country link,PKU,SRG,2015,70,1238018
rajawali,BTO,BTH,2015,172,3382078
country link,JOG,DPS,2016,66,1147274
rajawali,BTO,PDG,2014,180,3554975
macan,BDO,BTH,2016,120,2273735
rajawali,KNO,BTH,2015,153,2963046
rajawali,BDO,HLP,2014,141,2714604
rajawali,JOG,HLP,2016,196,3905502
country link,KNO,PDG,2015,93,1730069
macan,CGK,DPS,2016,107,2004051
mataram,BTO,SRG,2017,148,2869226
macan,KNO,SRG,2014,91,1677140
country link,CGK,DPS,2017,139,2688279
rajawali,PKU,PDG,2017,123,2345690
country link,CGK,HLP,2014,165,3216348
water asia,JOG,PDG,2015,119,2249585
water asia,PKU,SRG,2016,66,1158561
rajawali,BDO,BTH,2016,141,2728656
rajawali,JOG,UPG,2015,116,2190110
macan,PKU,DPS,2014,151,2923350
country link,JOG,SRG,2016,198,3946686
rajawali,CGK,PDG,2017,146,2827402
country link,KNO,PDG,2015,78,1409322
mataram,KNO,BTH,2017,81,1468983
macan,JOG,BTH,2016,144,2782555
mataram,CGK,BTH,2015,104,1945215
macan,CGK,UPG,2017,162,3158477
mataram,JOG,UPG,2017,128,2445676
rajawali,BDO,DPS,2016,162,3153954
macan,KNO,UPG,2017,75,1343907
mataram,BDO,DPS,2014,200,3981310
country link,BTO,HLP,2015,166,3232137
macan,BTO,SRG,2015,159,3090668
country link,KNO,UPG,2017,173,3405246
mataram,CGK,HLP,2014,143,2771423
mataram,BDO,PDG,2016,170,3348065
rajawali,PKU,UPG,2016,189,3756790
rajawali,CGK,SRG,2015,74,1659637
mataram,PKU,UPG,2016,163,3180313
country link,BTO,SRG,2017,166,3253986
country link,JOG,HLP,2016,90,1659370
rajawali,JOG,DPS,2015,194,3846807
water asia,BTO,DPS,2016,107,2003342
rajawali,JOG,UPG,2017,193,3829034
macan,KNO,PDG,2015,197,3928761
water asia,JOG,HLP,2016,72,1283118
country link,KNO,UPG,2017,93,1729269
rajawali,JOG,HLP,2017,95,1776263
rajawali,KNO,UPG,2016,175,3438975
country link,KNO,SRG,2014,183,3611828
water asia,PKU,PDG,2017,139,2689513
rajawali,KNO,HLP,2015,96,1788737
macan,JOG,SRG,2014,133,2543058
macan,PKU,DPS,2015,146,2825609
macan,BDO,SRG,2017,193,3827986
water asia,PKU,HLP,2017,119,2254029
rajawali,JOG,DPS,2014,193,3837937
rajawali,KNO,SRG,2014,189,3740624
water asia,BTO,HLP,2014,156,3042281
mataram,KNO,UPG,2017,73,1320989
water asia,KNO,DPS,2014,125,2385127
macan,CGK,DPS,2017,145,2797869
country link,BTO,HLP,2015,190,3763890
mataram,PKU,SRG,2016,143,2770047
country link,JOG,UPG,2016,69,1209888
mataram,JOG,DPS,2017,77,1388197
rajawali,JOG,UPG,2014,86,1582713
mataram,CGK,SRG,2015,191,3790715
water asia,KNO,DPS,2015,177,3473421
water asia,KNO,PDG,2016,189,3750373
water asia,KNO,UPG,2015,78,1881139
rajawali,BTO,BTH,2015,144,2779958
mataram,BDO,HLP,2015,174,3409824
rajawali,BDO,DPS,2015,192,3813945
macan,PKU,BTH,2016,193,3822795
country link,PKU,PDG,2015,145,2812293
macan,KNO,DPS,2016,121,2296787
water asia,JOG,DPS,2015,61,1029085
mataram,PKU,DPS,2017,74,1325424
country link,CGK,BTH,2014,117,2217828
country link,BDO,DPS,2016,120,2296182
water asia,BDO,DPS,2014,167,3274783
macan,KNO,SRG,2015,193,3833181
rajawali,CGK,HLP,2017,147,2838558
mataram,BTO,HLP,2014,110,2060105
country link,BTO,DPS,2014,138,2668606
mataram,PKU,PDG,2015,147,2839412
country link,BDO,SRG,2017,169,3321954
mataram,JOG,DPS,2017,140,2702278
macan,JOG,BTH,2016,167,3268051
macan,CGK,HLP,2016,108,2035110
mataram,JOG,HLP,2017,185,3650408
rajawali,BTO,DPS,2017,96,1797898
mataram,JOG,BTH,2016,135,2595472
water asia,JOG,UPG,2016,127,2431934
rajawali,JOG,SRG,2014,147,2838248
water asia,PKU,BTH,2015,123,2344401
mataram,PKU,SRG,2016,81,1461280
mataram,KNO,PDG,2016,134,2568191
country link,BTO,BTH,2015,136,2613212
rajawali,BTO,BTH,2017,187,3700043
mataram,JOG,BTH,2016,187,1375172
rajawali,BTO,PDG,2016,86,1577346
water asia,CGK,BTH,2014,98,1835156
rajawali,PKU,UPG,2016,116,2199202
country link,BTO,UPG,2017,113,2132350
macan,CGK,HLP,2015,129,2465624
rajawali,KNO,BTH,2017,176,3455459
mataram,CGK,UPG,2016,119,2264377
water asia,CGK,DPS,2017,162,3157595
water asia,KNO,DPS,2015,123,2355626
water asia,BTO,SRG,2015,114,2151082
rajawali,PKU,SRG,2017,159,3094085
water asia,KNO,HLP,2014,96,1782813
mataram,PKU,HLP,2017,65,1128175
macan,BTO,HLP,2014,110,2077150
macan,JOG,PDG,2017,60,1003654
mataram,KNO,BTH,2016,188,3712310
water asia,KNO,HLP,2017,168,3308103
rajawali,JOG,BTH,2016,175,3440634
mataram,BTO,HLP,2017,112,2094349
rajawali,PKU,SRG,2017,129,1165336
mataram,BDO,SRG,2014,97,2677904
country link,CGK,UPG,2014,85,1552665
macan,CGK,HLP,2015,149,2891291
mataram,PKU,HLP,2015,167,3257181
water asia,BTO,BTH,2015,87,1603241
macan,JOG,SRG,2016,105,1965463
macan,CGK,HLP,2016,142,2740495
mataram,BTO,UPG,2015,153,2977683
country link,KNO,SRG,2016,131,2504942
mataram,BDO,SRG,2014,136,2602408
macan,BDO,DPS,2016,127,2422662
mataram,KNO,SRG,2014,176,3452296
country link,PKU,BTH,2016,170,3341426
water asia,JOG,HLP,2015,129,2463230
country link,KNO,SRG,2017,87,1596040
macan,CGK,SRG,2015,154,3093390
rajawali,CGK,HLP,2017,137,2639894
water asia,JOG,BTH,2014,68,1204399
mataram,KNO,HLP,2014,109,2044059
rajawali,BDO,PDG,2015,178,3492495
rajawali,BDO,DPS,2016,64,1108234
rajawali,BDO,DPS,2016,119,2246437
rajawali,CGK,BTH,2016,94,1753843
mataram,JOG,DPS,2014,79,1419232
rajawali,JOG,BTH,2016,149,2878050
mataram,PKU,HLP,2016,171,3351019
rajawali,BTO,BTH,2017,130,2484152
mataram,JOG,UPG,2014,69,1216375
macan,CGK,PDG,2015,194,3853632
macan,KNO,SRG,2015,167,3256603
water asia,KNO,DPS,2016,74,1324811
macan,KNO,PDG,2016,149,2890599
macan,KNO,DPS,2014,133,2550270
mataram,KNO,DPS,2017,135,2580659
water asia,CGK,BTH,2014,68,1205687
macan,KNO,HLP,2017,156,3035173
rajawali,PKU,PDG,2014,198,3944088
mataram,BDO,SRG,2014,76,1363800
rajawali,BTO,PDG,2014,135,2581908
country link,BTO,HLP,2016,69,1218118
rajawali,KNO,UPG,2016,123,2355881
country link,KNO,BTH,2014,80,1443731
rajawali,PKU,SRG,2014,123,2344761
country link,KNO,PDG,2017,185,3652327
water asia,CGK,BTH,2017,157,3050939
water asia,CGK,UPG,2014,70,1235638
macan,CGK,PDG,2015,146,2822491
water asia,BDO,SRG,2017,168,3294310
country link,CGK,SRG,2017,75,2797350
water asia,KNO,SRG,2016,149,2884942
macan,KNO,DPS,2014,199,3959770
water asia,BTO,SRG,2017,139,2691807
country link,BDO,SRG,2016,152,2947882
water asia,JOG,DPS,2014,89,1631822
mataram,BTO,HLP,2014,62,1038259
rajawali,BDO,UPG,2014,190,3859420
country link,KNO,DPS,2014,103,1927460
rajawali,BDO,UPG,2014,94,1749474
macan,BDO,HLP,2015,102,1907753
country link,CGK,SRG,2015,181,3573611
rajawali,PKU,BTH,2017,189,3756223
rajawali,BTO,PDG,2016,103,1921106
macan,PKU,DPS,2016,144,2780455
mataram,BDO,SRG,2017,156,3040067
water asia,PKU,HLP,2017,107,1992583
mataram,PKU,UPG,2016,83,1508651
macan,JOG,UPG,2017,90,1661858
mataram,KNO,DPS,2017,71,1261946
water asia,BDO,UPG,2016,152,2948544
macan,BTO,PDG,2016,75,1350761
rajawali,BDO,SRG,2016,159,3086706
water asia,PKU,BTH,2015,135,2591001
country link,BDO,SRG,2014,89,1640165
macan,JOG,DPS,2017,97,1805643
country link,JOG,HLP,2015,158,3076523
rajawali,KNO,PDG,2015,94,1744067
mataram,JOG,SRG,2016,103,1930640
water asia,JOG,PDG,2014,115,2178285
country link,PKU,SRG,2015,63,1077642
country link,JOG,HLP,2014,81,1460521
macan,PKU,UPG,2015,69,1216276
mataram,CGK,HLP,2016,162,3151308
macan,JOG,SRG,2017,85,1566173
macan,BDO,SRG,2016,105,1972699
rajawali,BDO,PDG,2014,187,3694580
rajawali,JOG,BTH,2015,190,3967376
mataram,PKU,HLP,2015,125,2394761
rajawali,PKU,SRG,2016,143,1912870
water asia,JOG,BTH,2016,149,2879301
rajawali,BDO,UPG,2014,124,2374375
rajawali,KNO,DPS,2014,78,1413163
water asia,KNO,HLP,2014,152,2934623
rajawali,CGK,UPG,2014,78,1402640
macan,JOG,PDG,2014,105,1964651
country link,JOG,UPG,2016,100,1852574
rajawali,CGK,DPS,2014,68,1187889
country link,PKU,UPG,2017,151,2925492
rajawali,CGK,SRG,2017,151,2924514
water asia,JOG,UPG,2015,198,3940381
macan,JOG,UPG,2016,176,3447051
country link,CGK,UPG,2014,98,1822480
rajawali,BDO,BTH,2017,153,2979679
macan,KNO,HLP,2016,143,2763171
country link,KNO,UPG,2015,146,2828510
country link,KNO,SRG,2017,88,1606892
country link,BTO,SRG,2017,81,1475337
country link,BTO,SRG,2016,62,1050803
rajawali,CGK,DPS,2016,140,2708480
rajawali,BDO,SRG,2017,121,2312973
mataram,KNO,BTH,2015,146,2834107
macan,JOG,BTH,2016,120,2284371
macan,BTO,DPS,2016,173,3387298
rajawali,KNO,DPS,2014,133,2556159
mataram,JOG,BTH,2017,145,2811540
macan,BDO,UPG,2015,99,1851880
rajawali,KNO,PDG,2014,124,2367749
mataram,PKU,UPG,2017,159,3084740
country link,CGK,DPS,2016,177,3483137
mataram,BTO,DPS,2015,137,2646503
rajawali,BDO,PDG,2016,146,2821081
macan,BTO,BTH,2017,92,1703173
water asia,JOG,SRG,2014,171,3353020
macan,BTO,UPG,2015,85,1549215
mataram,KNO,DPS,2017,198,3955284
macan,CGK,SRG,2014,86,1581181
rajawali,BDO,UPG,2017,140,2708883
mataram,JOG,SRG,2016,83,1521965
water asia,PKU,UPG,2016,179,3518058
water asia,PKU,HLP,2014,130,2498593
rajawali,PKU,BTH,2017,192,3814577
rajawali,KNO,UPG,2014,100,3344743
country link,CGK,SRG,2017,186,3668626
rajawali,JOG,PDG,2014,132,2541653
country link,BDO,SRG,2014,120,2271503
country link,CGK,UPG,2015,122,2337647
mataram,BTO,SRG,2015,88,1610512
mataram,KNO,BTH,2016,179,3523692
mataram,BDO,UPG,2017,97,1816090
water asia,PKU,PDG,2016,71,1268959
mataram,CGK,DPS,2017,174,3419440
water asia,JOG,DPS,2017,151,2931494
water asia,KNO,UPG,2017,159,3092717
macan,BDO,UPG,2017,106,1990821
rajawali,PKU,PDG,2016,167,3285049
country link,BTO,BTH,2017,161,3139291
macan,JOG,BTH,2015,189,3757182
water asia,PKU,UPG,2016,84,1534333
country link,JOG,DPS,2014,122,2323682
macan,JOG,BTH,2017,180,3545069
water asia,BDO,HLP,2016,102,1903464
rajawali,PKU,BTH,2015,66,1151068
rajawali,BTO,UPG,2016,126,2404828
water asia,BDO,DPS,2014,85,1568335
country link,BTO,UPG,2017,116,2189881
macan,BDO,BTH,2015,69,1214529
mataram,PKU,BTH,2014,132,2530791
water asia,CGK,SRG,2017,119,2239873
mataram,BDO,UPG,2014,98,1835519
rajawali,KNO,SRG,2017,120,2277269
water asia,BDO,SRG,2015,198,3937560
country link,PKU,DPS,2014,102,1914537
water asia,BDO,DPS,2017,173,3392964
rajawali,BTO,SRG,2016,122,2336674
country link,BDO,DPS,2014,189,3523879
macan,BTO,UPG,2014,107,2012612
macan,KNO,UPG,2014,99,1843519
rajawali,CGK,SRG,2016,121,2303603
water asia,BDO,SRG,2015,92,1709202
water asia,BDO,DPS,2017,182,3578141
country link,JOG,PDG,2017,158,3084666
water asia,JOG,SRG,2015,196,3908354
rajawali,CGK,DPS,2016,118,2231291
macan,BDO,PDG,2014,149,2874336
mataram,BDO,DPS,2017,197,3915463
water asia,CGK,BTH,2017,153,2983038
country link,BTO,PDG,2017,172,3375922
rajawali,CGK,DPS,2016,189,2267798
water asia,KNO,HLP,2016,116,2188953
country link,JOG,PDG,2017,171,3368049
country link,PKU,PDG,2016,107,2020754
mataram,BTO,DPS,2017,165,3229732
country link,BDO,UPG,2017,63,1065715
country link,KNO,DPS,2014,138,2655777
country link,BTO,BTH,2016,124,2362256
mataram,BTO,DPS,2015,81,1475852
water asia,BTO,PDG,2014,192,3822402
rajawali,KNO,UPG,2016,80,1458091
macan,PKU,BTH,2016,189,3740628
macan,CGK,BTH,2015,180,3552067
macan,JOG,BTH,2014,107,2017134
mataram,CGK,SRG,2015,87,1586910
water asia,JOG,UPG,2015,182,3591666
country link,JOG,BTH,2014,176,3025261
country link,BTO,HLP,2015,93,1722573
rajawali,KNO,PDG,2017,131,2509994
country link,CGK,DPS,2014,167,3285690
country link,PKU,HLP,2014,117,2221254
country link,PKU,HLP,2014,182,3588909
country link,JOG,PDG,2014,62,1042363
rajawali,PKU,SRG,2015,157,3062563
rajawali,KNO,DPS,2016,184,3622336
water asia,JOG,PDG,2014,165,3216737
rajawali,BTO,DPS,2014,61,1036148
water asia,JOG,PDG,2017,101,1890532
country link,PKU,BTH,2014,196,3890160
water asia,PKU,UPG,2014,142,2742567
macan,PKU,SRG,2017,149,2870233
water asia,BDO,SRG,2017,115,2177536
mataram,KNO,SRG,2014,163,3184425
water asia,JOG,HLP,2015,89,1629709
country link,BTO,HLP,2016,183,3616780
mataram,CGK,HLP,2014,106,1984634
rajawali,KNO,HLP,2015,72,1288625
macan,BDO,BTH,2017,164,3212671
macan,CGK,UPG,2017,91,1670913
water asia,PKU,PDG,2015,136,2610661
macan,JOG,SRG,2014,198,3952111
water asia,BDO,UPG,2014,151,2925869
rajawali,KNO,SRG,2014,200,3982754
rajawali,JOG,HLP,2016,172,3378637
country link,BTO,DPS,2017,161,3136649
rajawali,BDO,DPS,2016,116,2181795
country link,JOG,SRG,2015,109,2057394
macan,BTO,DPS,2017,77,1380351
country link,BTO,PDG,2016,175,3434841
mataram,KNO,HLP,2016,142,2732230
macan,PKU,DPS,2015,142,2733235
macan,JOG,PDG,2016,105,1973671
water asia,PKU,PDG,2014,154,2994251
water asia,BDO,UPG,2014,104,1940479
country link,JOG,BTH,2015,199,3955761
rajawali,PKU,PDG,2016,191,3800361
rajawali,KNO,PDG,2017,113,2134622
country link,BTO,DPS,2014,146,2820289
rajawali,CGK,PDG,2016,150,2913856
water asia,CGK,DPS,2014,198,3946627
mataram,BTO,SRG,2015,167,3258223
rajawali,BTO,UPG,2015,97,1802187
macan,JOG,BTH,2017,136,2625934
rajawali,KNO,UPG,2016,75,1362610
macan,BDO,PDG,2014,143,2759229
macan,JOG,UPG,2016,186,3674670
rajawali,CGK,HLP,2014,89,1629035
water asia,PKU,BTH,2014,147,2839088
mataram,BTO,HLP,2015,138,2660185
rajawali,KNO,PDG,2017,168,3288018
water asia,BTO,DPS,2016,144,2775850
macan,JOG,UPG,2017,124,2361497
macan,JOG,HLP,2015,199,3958276
rajawali,KNO,DPS,2016,173,3401339
mataram,CGK,PDG,2014,75,1352890
mataram,CGK,PDG,2015,174,3424302
mataram,KNO,SRG,2014,178,3500439
rajawali,JOG,PDG,2015,130,2488279
water asia,JOG,DPS,2015,64,1116289
mataram,JOG,UPG,2015,151,2921628
macan,BDO,SRG,2015,84,1527749
mataram,BDO,HLP,2017,83,1513150
rajawali,KNO,UPG,2016,105,1964095
rajawali,KNO,HLP,2016,148,2853502
rajawali,KNO,SRG,2016,71,1256599
macan,CGK,BTH,2014,116,2204311
country link,CGK,SRG,2014,192,3820281
mataram,CGK,SRG,2015,67,1174628
rajawali,BTO,BTH,2014,183,3602725
country link,CGK,DPS,2014,65,1122826
country link,BTO,UPG,2015,139,2687454
country link,BDO,UPG,2015,130,2487723
macan,JOG,DPS,2017,73,1292781
rajawali,JOG,UPG,2017,188,3713794
mataram,BDO,PDG,2016,60,1000834
rajawali,CGK,SRG,2017,146,2832503
country link,CGK,BTH,2014,73,1312431
water asia,BDO,SRG,2015,196,3895008
water asia,JOG,HLP,2014,80,1456670
country link,BDO,UPG,2015,157,3047781
macan,JOG,SRG,2015,158,3077998
water asia,CGK,SRG,2016,92,2483999
macan,CGK,BTH,2016,165,3228509
water asia,BDO,HLP,2016,190,3771976
water asia,KNO,SRG,2016,60,1011483
water asia,PKU,UPG,2016,191,3798191
rajawali,BTO,UPG,2015,150,2899023
mataram,JOG,HLP,2015,181,3560845
mataram,CGK,UPG,2014,169,3312816
macan,BDO,DPS,2015,190,3759828
country link,CGK,HLP,2017,151,2921128
country link,PKU,PDG,2016,171,3352040
water asia,KNO,PDG,2016,136,2617912
country link,JOG,HLP,2014,110,2078612
macan,BTO,HLP,2017,73,1318425
rajawali,BTO,UPG,2016,199,3956604
country link,BDO,HLP,2017,110,2060961
water asia,BDO,BTH,2015,160,3112655
country link,BTO,BTH,2017,187,3701826
macan,JOG,HLP,2016,178,3490850
mataram,JOG,BTH,2015,169,3313543
country link,KNO,SRG,2016,107,1999024
macan,KNO,BTH,2016,94,1755473
macan,JOG,PDG,2016,175,3435517
macan,CGK,UPG,2015,149,2884440
country link,CGK,HLP,2016,180,3546000
country link,JOG,BTH,2014,136,2612165
macan,KNO,DPS,2016,98,1830362
mataram,JOG,SRG,2014,105,1972903
country link,CGK,SRG,2015,64,1103380
country link,BTO,BTH,2016,146,2831117
macan,CGK,UPG,2015,76,1367489
mataram,BDO,PDG,2016,124,2368464
macan,BTO,DPS,2015,119,2240123
rajawali,KNO,SRG,2017,88,1621603
country link,PKU,PDG,2017,197,3928016
country link,PKU,SRG,2017,178,3501871
water asia,BDO,UPG,2017,75,1359978
mataram,BTO,BTH,2015,85,1555295
mataram,BTO,UPG,2017,139,2683893
mataram,KNO,PDG,2016,60,1006485
macan,KNO,DPS,2017,180,3552550
country link,KNO,PDG,2014,76,1371085
macan,JOG,UPG,2017,146,2820356
mataram,PKU,HLP,2015,155,3008110
macan,BTO,HLP,2015,131,2523044
country link,JOG,DPS,2014,86,1578455
mataram,BDO,BTH,2014,174,3425589
country link,PKU,HLP,2017,69,1211742
rajawali,CGK,SRG,2015,137,2632000
rajawali,CGK,DPS,2017,64,1102396
water asia,KNO,SRG,2016,149,2892297
rajawali,CGK,SRG,2016,183,3598824
macan,BTO,BTH,2014,102,1913807
macan,KNO,SRG,2016,119,2268685
rajawali,BTO,BTH,2015,181,3574520
macan,PKU,SRG,2014,77,1393213
country link,JOG,UPG,2014,68,1205938
rajawali,BDO,SRG,2017,74,1331522
water asia,JOG,PDG,2016,138,2652857
water asia,BTO,UPG,2014,72,1284245
mataram,KNO,BTH,2015,90,1656757
rajawali,BTO,PDG,2014,180,3557294
mataram,JOG,DPS,2016,66,1150837
rajawali,PKU,PDG,2015,97,1808034
country link,CGK,HLP,2015,163,3172639
water asia,BDO,BTH,2014,149,2880490
macan,JOG,HLP,2016,178,3502646
rajawali,KNO,BTH,2016,71,1249959
macan,JOG,DPS,2015,112,2113292
country link,JOG,BTH,2017,141,2730606
country link,KNO,BTH,2017,196,3889925
macan,JOG,SRG,2015,154,2994521
macan,BTO,SRG,2016,75,1346544
macan,PKU,UPG,2017,137,2646964
water asia,CGK,HLP,2017,128,2444377
rajawali,BTO,UPG,2015,75,1362223
country link,BDO,HLP,2014,167,3280195
country link,CGK,DPS,2017,184,3635754
country link,BTO,PDG,2017,122,2318867
rajawali,JOG,HLP,2014,164,3197059
country link,PKU,SRG,2014,127,2422987
water asia,BTO,BTH,2017,76,1377229
mataram,BDO,UPG,2017,119,2252440
macan,JOG,SRG,2016,69,1215843
mataram,PKU,DPS,2017,124,2371191
country link,JOG,PDG,2014,62,1053070
country link,BDO,SRG,2015,66,1160240
country link,KNO,HLP,2014,139,2677413
rajawali,PKU,BTH,2016,65,1124907
country link,BTO,PDG,2016,170,3333961
mataram,BTO,UPG,2016,84,1535652
country link,JOG,PDG,2017,180,3559847
rajawali,PKU,UPG,2014,172,3374256
rajawali,CGK,DPS,2014,154,3001145
macan,BDO,SRG,2017,124,2369972
macan,KNO,PDG,2014,138,2660953
water asia,PKU,BTH,2014,197,3927710
rajawali,KNO,HLP,2014,192,3822611
country link,BTO,UPG,2015,71,1267603
water asia,CGK,PDG,2016,192,3813223
rajawali,PKU,SRG,2017,108,2024061
mataram,JOG,DPS,2017,196,3895235
rajawali,CGK,DPS,2017,184,3636119
mataram,BDO,BTH,2015,143,2772978
water asia,BDO,SRG,2015,78,1404690
water asia,CGK,SRG,2015,192,3805872
country link,JOG,HLP,2016,106,1986979
water asia,PKU,SRG,2014,165,3215153
rajawali,BDO,BTH,2016,176,3457090
water asia,KNO,UPG,2017,140,2696080
rajawali,BDO,PDG,2016,97,1816214
rajawali,PKU,SRG,2017,191,3798193
rajawali,JOG,PDG,2015,112,2661957
mataram,KNO,HLP,2016,140,2694336
country link,CGK,DPS,2015,161,3142096
mataram,JOG,BTH,2014,175,3442521
water asia,BDO,BTH,2014,60,1016423
country link,CGK,UPG,2014,75,1361420
water asia,JOG,HLP,2014,170,3341439
macan,BDO,BTH,2016,117,2213011
mataram,BTO,BTH,2015,169,3331700
country link,JOG,PDG,2014,120,2294148
macan,BDO,UPG,2017,98,1823581
rajawali,JOG,HLP,2015,140,2699246
water asia,PKU,SRG,2017,81,1481818
water asia,JOG,SRG,2016,86,1583505
country link,BDO,PDG,2014,191,3790724
macan,BDO,HLP,2016,71,1249903
macan,BDO,UPG,2015,70,1234522
rajawali,CGK,HLP,2016,84,1333245
